Iteration,"DQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,0.000,0) score","DQ_l(0.0003,0.99,32,1.000,2000,64,512,0,1,2,0.000,0) interval","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) score","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) interval","DQ_l(0.0005,0.91,4,1.000,500,256,128,0,0,2,1.000,2) score","DQ_l(0.0005,0.91,4,1.000,500,256,128,0,0,2,1.000,2) interval"
1000,10.4,0.2,42.1,0.5,42.6,0.5
2000,26.3,0.3,53.0,0.5,53.3,0.6
3000,38.8,0.4,56.9,0.6,57.1,0.6
4000,45.3,0.5,58.9,0.6,59.1,0.6
5000,49.2,0.5,60.1,0.6,60.3,0.6
6000,51.8,0.5,60.9,0.6,61.1,0.6
7000,53.8,0.6,61.5,0.6,61.7,0.6
8000,55.2,0.6,62.0,0.6,62.1,0.6
9000,56.3,0.6,62.4,0.6,62.5,0.6
10000,57.2,0.6,62.6,0.6,62.8,0.6
11000,58.0,0.6,62.9,0.6,63.0,0.6
12000,58.6,0.6,63.1,0.6,63.2,0.6
13000,59.2,0.6,63.2,0.6,63.4,0.6
14000,59.6,0.6,63.4,0.6,63.5,0.6
15000,60.0,0.6,63.5,0.6,63.6,0.6
16000,60.4,0.6,63.6,0.6,63.7,0.7
17000,60.7,0.6,63.7,0.6,63.9,0.7
18000,61.0,0.6,63.8,0.6,63.9,0.7
19000,61.2,0.6,63.9,0.6,64.0,0.7
20000,61.4,0.6,64.0,0.6,64.1,0.7
21000,61.6,0.6,64.1,0.6,64.2,0.7
22000,61.8,0.6,64.1,0.6,64.2,0.7
23000,62.0,0.6,64.2,0.6,64.3,0.7
24000,62.1,0.6,64.2,0.6,64.3,0.7
25000,62.3,0.6,64.3,0.6,64.4,0.7
26000,62.4,0.6,64.3,0.6,64.4,0.7
27000,62.5,0.6,64.4,0.6,64.5,0.7
28000,62.7,0.6,64.4,0.6,64.5,0.7
29000,62.8,0.6,64.5,0.6,64.5,0.7
30000,62.9,0.6,64.5,0.6,64.6,0.7
31000,62.9,0.6,64.5,0.6,64.6,0.7
32000,63.0,0.6,64.6,0.6,64.6,0.7
33000,63.1,0.6,64.6,0.6,64.7,0.7
34000,63.2,0.6,64.6,0.6,64.7,0.7
35000,63.3,0.6,64.7,0.6,64.7,0.7
36000,63.3,0.6,64.7,0.6,64.7,0.7
37000,63.4,0.6,64.7,0.6,64.8,0.7
38000,63.5,0.6,64.7,0.6,64.8,0.7
39000,63.5,0.6,64.7,0.6,64.8,0.7
40000,63.6,0.6,64.8,0.6,64.8,0.7
41000,63.6,0.6,64.8,0.6,64.8,0.7
42000,63.7,0.6,64.8,0.6,64.9,0.7
43000,63.7,0.6,64.8,0.6,64.9,0.7
44000,63.8,0.6,64.8,0.6,64.9,0.7
45000,63.8,0.6,64.9,0.6,64.9,0.7
46000,63.9,0.6,64.9,0.6,64.9,0.7
47000,63.9,0.6,64.9,0.6,64.9,0.7
48000,63.9,0.6,64.9,0.6,65.0,0.7
49000,64.0,0.6,64.9,0.6,65.0,0.7
50000,64.0,0.6,64.9,0.6,65.0,0.7
51000,64.0,0.6,65.0,0.6,65.0,0.7
52000,64.1,0.6,65.0,0.6,65.0,0.7
53000,64.1,0.6,65.0,0.6,65.0,0.7
54000,64.1,0.6,65.0,0.6,65.0,0.7
55000,64.2,0.6,65.0,0.6,65.0,0.7
56000,64.2,0.6,65.0,0.6,65.0,0.7
57000,64.2,0.6,65.0,0.6,65.1,0.7
58000,64.2,0.6,65.0,0.6,65.1,0.7
59000,64.3,0.6,65.0,0.6,65.1,0.7
60000,64.3,0.6,65.0,0.6,65.1,0.7
61000,64.3,0.6,65.1,0.6,65.1,0.7
62000,64.3,0.6,65.1,0.6,65.1,0.7
63000,64.3,0.6,65.1,0.6,65.1,0.7
64000,64.4,0.6,65.1,0.6,65.1,0.7
65000,64.4,0.6,65.1,0.6,65.1,0.7
66000,64.4,0.6,65.1,0.6,65.1,0.7
67000,64.4,0.6,65.1,0.6,65.1,0.7
68000,64.4,0.6,65.1,0.6,65.1,0.7
69000,64.5,0.6,65.1,0.6,65.1,0.7
70000,64.5,0.6,65.1,0.6,65.2,0.7
71000,64.5,0.6,65.1,0.6,65.2,0.7
72000,64.5,0.6,65.1,0.6,65.2,0.7
73000,64.5,0.6,65.1,0.6,65.2,0.7
74000,64.5,0.6,65.2,0.6,65.2,0.7
75000,64.6,0.6,65.2,0.6,65.2,0.7
76000,64.6,0.6,65.2,0.6,65.2,0.7
77000,64.6,0.6,65.2,0.6,65.2,0.7
78000,64.6,0.6,65.2,0.6,65.2,0.7
79000,64.6,0.6,65.2,0.6,65.2,0.7
80000,64.6,0.6,65.2,0.6,65.2,0.7
81000,64.6,0.6,65.2,0.6,65.2,0.7
82000,64.6,0.6,65.2,0.6,65.2,0.7
83000,64.7,0.6,65.2,0.6,65.2,0.7
84000,64.7,0.6,65.2,0.6,65.2,0.7
85000,64.7,0.6,65.2,0.6,65.2,0.7
86000,64.7,0.6,65.2,0.6,65.2,0.7
87000,64.7,0.6,65.2,0.6,65.2,0.7
88000,64.7,0.6,65.2,0.6,65.2,0.7
89000,64.7,0.6,65.2,0.6,65.2,0.7
90000,64.7,0.6,65.2,0.6,65.2,0.7
91000,64.7,0.6,65.2,0.6,65.2,0.7
92000,64.8,0.6,65.2,0.6,65.2,0.7
93000,64.8,0.6,65.2,0.6,65.2,0.7
94000,64.8,0.6,65.2,0.6,65.3,0.7
95000,64.8,0.6,65.2,0.6,65.3,0.7
96000,64.8,0.6,65.2,0.6,65.3,0.7
97000,64.8,0.6,65.3,0.6,65.3,0.7
98000,64.8,0.6,65.3,0.6,65.3,0.7
99000,64.8,0.6,65.3,0.6,65.3,0.7
100000,64.8,0.6,65.3,0.6,65.3,0.7
