Iteration,"DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) score","DQ_l(0.0005,0.91,4,1.000,500,128,224,0,0,3,1.000,2) interval","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) score","DDQ_l(0.0005,0.91,4,1.000,500,256,176,0,0,3,0.485,195,1.000,2) interval"
1000,42.1,0.5,41.9,0.5
2000,53.0,0.5,53.3,0.5
3000,56.9,0.6,57.3,0.6
4000,58.9,0.6,59.3,0.6
5000,60.1,0.6,60.6,0.6
6000,60.9,0.6,61.4,0.6
7000,61.5,0.6,62.0,0.6
8000,62.0,0.6,62.5,0.6
9000,62.4,0.6,62.8,0.6
10000,62.6,0.6,63.1,0.6
11000,62.9,0.6,63.3,0.6
12000,63.1,0.6,63.5,0.6
13000,63.2,0.6,63.7,0.6
14000,63.4,0.6,63.8,0.6
15000,63.5,0.6,63.9,0.6
16000,63.6,0.6,64.0,0.6
17000,63.7,0.6,64.1,0.6
18000,63.8,0.6,64.2,0.6
19000,63.9,0.6,64.3,0.6
20000,64.0,0.6,64.4,0.6
21000,64.1,0.6,64.4,0.6
22000,64.1,0.6,64.5,0.6
23000,64.2,0.6,64.6,0.6
24000,64.2,0.6,64.6,0.6
25000,64.3,0.6,64.6,0.6
26000,64.3,0.6,64.7,0.6
27000,64.4,0.6,64.7,0.6
28000,64.4,0.6,64.8,0.6
29000,64.5,0.6,64.8,0.6
30000,64.5,0.6,64.8,0.6
31000,64.5,0.6,64.9,0.6
32000,64.6,0.6,64.9,0.6
33000,64.6,0.6,64.9,0.6
34000,64.6,0.6,65.0,0.6
35000,64.7,0.6,65.0,0.6
36000,64.7,0.6,65.0,0.6
37000,64.7,0.6,65.0,0.6
38000,64.7,0.6,65.0,0.6
39000,64.7,0.6,65.1,0.6
40000,64.8,0.6,65.1,0.6
41000,64.8,0.6,65.1,0.6
42000,64.8,0.6,65.1,0.6
43000,64.8,0.6,65.1,0.6
44000,64.8,0.6,65.2,0.6
45000,64.9,0.6,65.2,0.6
46000,64.9,0.6,65.2,0.6
47000,64.9,0.6,65.2,0.6
48000,64.9,0.6,65.2,0.6
49000,64.9,0.6,65.2,0.6
50000,64.9,0.6,65.2,0.6
51000,65.0,0.6,65.2,0.6
52000,65.0,0.6,65.3,0.6
53000,65.0,0.6,65.3,0.6
54000,65.0,0.6,65.3,0.6
55000,65.0,0.6,65.3,0.6
56000,65.0,0.6,65.3,0.6
57000,65.0,0.6,65.3,0.6
58000,65.0,0.6,65.3,0.6
59000,65.0,0.6,65.3,0.6
60000,65.0,0.6,65.3,0.6
61000,65.1,0.6,65.3,0.6
62000,65.1,0.6,65.3,0.6
63000,65.1,0.6,65.3,0.6
64000,65.1,0.6,65.3,0.6
65000,65.1,0.6,65.4,0.6
66000,65.1,0.6,65.4,0.6
67000,65.1,0.6,65.4,0.6
68000,65.1,0.6,65.4,0.6
69000,65.1,0.6,65.4,0.6
70000,65.1,0.6,65.4,0.6
71000,65.1,0.6,65.4,0.6
72000,65.1,0.6,65.4,0.6
73000,65.1,0.6,65.4,0.6
74000,65.2,0.6,65.4,0.6
75000,65.2,0.6,65.4,0.6
76000,65.2,0.6,65.4,0.6
77000,65.2,0.6,65.4,0.6
78000,65.2,0.6,65.4,0.6
79000,65.2,0.6,65.4,0.6
80000,65.2,0.6,65.4,0.6
81000,65.2,0.6,65.4,0.6
82000,65.2,0.6,65.4,0.6
83000,65.2,0.6,65.4,0.6
84000,65.2,0.6,65.4,0.6
85000,65.2,0.6,65.4,0.6
86000,65.2,0.6,65.4,0.6
87000,65.2,0.6,65.4,0.6
88000,65.2,0.6,65.4,0.6
89000,65.2,0.6,65.4,0.6
90000,65.2,0.6,65.4,0.6
91000,65.2,0.6,65.4,0.6
92000,65.2,0.6,65.5,0.6
93000,65.2,0.6,65.5,0.6
94000,65.2,0.6,65.5,0.6
95000,65.2,0.6,65.5,0.6
96000,65.2,0.6,65.5,0.6
97000,65.3,0.6,65.5,0.6
98000,65.3,0.6,65.5,0.6
99000,65.3,0.6,65.5,0.6
100000,65.3,0.6,65.5,0.6
